id,name,review_count,categories,rating,coordinates,location,distance,price
AtjkeRwgZh-mkTsYtdjPSA,Trattoria Sogno,22,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 60.1777356293443, 'longitude': 24.9249926447523}","{'address1': 'Vähäniityntie 20 A', 'address2': '', 'address3': '', 'city': 'HELSINKI', 'zip_code': '00570', 'country': 'FI', 'state': '18', 'display_address': ['Vähäniityntie 20 A', '00570 HELSINKI', 'Finland']}",2060.9716753377725,€€€
Y82yKyI9WoY1KPeyQaEIsg,Wanzetta,4,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'arts', 'title': 'Arts & Entertainment'}]",3.0,"{'latitude': 60.1744995, 'longitude': 24.9576893}","{'address1': 'Liisankatu 9', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Liisankatu 9', '00170 Helsinki', 'Finland']}",2073.3473621271287,€
zLEz7dhcxDSzDK3jyew_tQ,Zinnkeller,14,"[{'alias': 'german', 'title': 'German'}, {'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",3.5,"{'latitude': 60.1744034863905, 'longitude': 24.9583420690043}","{'address1': 'Meritullinkatu 25', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Meritullinkatu 25', '00170 Helsinki', 'Finland']}",2078.755842248356,€€
RBBX1wa0dHZxBjrRhyjIBQ,Star Cafe,5,"[{'alias': 'nightlife', 'title': 'Nightlife'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",3.5,"{'latitude': 60.1737289, 'longitude': 24.9549999}","{'address1': 'Liisankatu 14', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Liisankatu 14', '00170 Helsinki', 'Finland']}",2079.280903906192,
4r_VY8xXtGwPDA80t5C9lg,Kolme Kruunua,35,"[{'alias': 'scandinavian', 'title': 'Scandinavian'}]",4.0,"{'latitude': 60.174376987984, 'longitude': 24.958932832065}","{'address1': 'Liisankatu 5', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Liisankatu 5', '00170 Helsinki', 'Finland']}",2090.888546909091,€€
1bPS8mc_H9En25v9GcvqtA,Unicafe Topelias,3,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",2.5,"{'latitude': 60.1735582689711, 'longitude': 24.950859970421}","{'address1': 'Unioninkatu 38 E', 'address2': 'Unionsgatan 38 E', 'address3': None, 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Unioninkatu 38 E', 'Unionsgatan 38 E', '00170 Helsinki', 'Finland']}",2097.2531985910614,
T-iZIEH0UemWlRNr4og0HQ,Unicafe,5,"[{'alias': 'buffets', 'title': 'Buffets'}]",3.5,"{'latitude': 60.1735582689711, 'longitude': 24.950859970421}","{'address1': 'Unioninkatu 37', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Unioninkatu 37', '00170 Helsinki', 'Finland']}",2097.2531985910614,€
8Fqy9EMPVyNIT6sjt0feSA,Umeshu,24,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 60.1774361010774, 'longitude': 24.9246255812324}","{'address1': 'Pohjoinen Hesperiankatu 15', 'address2': 'Norra Hesperiagatan 15', 'address3': None, 'city': 'Helsinki', 'zip_code': '00101', 'country': 'FI', 'state': '01', 'display_address': ['Pohjoinen Hesperiankatu 15', 'Norra Hesperiagatan 15', '00101 Helsinki', 'Finland']}",2099.7273382996605,€€€
aYU6rxiWZOHYI7gJq-Polw,Café Rakastan,1,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",5.0,"{'latitude': 60.1746623, 'longitude': 24.9335523}","{'address1': 'Mannerheimintie 13b', 'address2': '', 'address3': None, 'city': 'Helsinki', 'zip_code': '00100', 'country': 'FI', 'state': '18', 'display_address': ['Mannerheimintie 13b', '00100 Helsinki', 'Finland']}",2107.758383770256,
yx01gFhV34UCPgamLXBZog,Cafe Huvila,2,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 60.1747398, 'longitude': 24.9332504}","{'address1': 'Mannerheimintie 13 B', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00100', 'country': 'FI', 'state': '18', 'display_address': ['Mannerheimintie 13 B', '00100 Helsinki', 'Finland']}",2107.7583837689363,€
hS6ycWfHNxqBuLk9yYt1_A,Töölön Sävel,12,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.0,"{'latitude': 60.1781726318713, 'longitude': 24.9224498823596}","{'address1': 'Runeberginkatu 40', 'address2': 'Runebergsgatan 40', 'address3': '', 'city': 'Helsinki', 'zip_code': '00260', 'country': 'FI', 'state': '18', 'display_address': ['Runeberginkatu 40', 'Runebergsgatan 40', '00260 Helsinki', 'Finland']}",2113.666914966135,€€
a944JHf0oRkRwTCgPO5N9w,Kruna restaurang & bar,1,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'scandinavian', 'title': 'Scandinavian'}]",4.0,"{'latitude': 60.17405, 'longitude': 24.95932}","{'address1': 'Liisankatu 2', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00170', 'country': 'FI', 'state': '18', 'display_address': ['Liisankatu 2', '00170 Helsinki', 'Finland']}",2121.039308127265,
Uj1EKlJTp4iX9HWxjdm79g,Pikku-Nepal,2,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",4.0,"{'latitude': 60.1845779, 'longitude': 24.9837379}","{'address1': 'Sörnäistenlaituri 3', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00540', 'country': 'FI', 'state': '18', 'display_address': ['Sörnäistenlaituri 3', '00540 Helsinki', 'Finland']}",2124.585174533294,
AYmv5WhhNuNzfG-4XKIkwA,Coconut Street,1,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,"{'latitude': 60.173732753296, 'longitude': 24.9564633026807}","{'address1': 'Mariankatu 23', 'address2': 'Mariegatan 23', 'address3': '', 'city': 'Helsinki', 'zip_code': '00150', 'country': 'FI', 'state': '18', 'display_address': ['Mariankatu 23', 'Mariegatan 23', '00150 Helsinki', 'Finland']}",2124.946622990464,€
