categories,distance,geocodes,name
"[{'id': 10027, 'name': 'Museum', 'short_name': 'Museum', 'plural_name': 'Museums', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_', 'suffix': '.png'}}]",332,"{'drop_off': {'latitude': 60.157307, 'longitude': 24.945307}, 'main': {'latitude': 60.157263, 'longitude': 24.945514}, 'roof': {'latitude': 60.157263, 'longitude': 24.945514}}",Uutishaukat
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 11001, 'name': 'Advertising Agency', 'short_name': 'Advertising Agency', 'plural_name': 'Advertising Agencies', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",336,"{'drop_off': {'latitude': 60.15799, 'longitude': 24.953573}, 'main': {'latitude': 60.158068, 'longitude': 24.953336}, 'roof': {'latitude': 60.158068, 'longitude': 24.953336}}",Cat' S Pajamas
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 16022, 'name': 'Island', 'short_name': 'Island', 'plural_name': 'Islands', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}}]",337,"{'main': {'latitude': 60.152901, 'longitude': 24.946306}, 'roof': {'latitude': 60.152901, 'longitude': 24.946306}}",Liuskaluoto / Skifferholmen
"[{'id': 16032, 'name': 'Park', 'short_name': 'Park', 'plural_name': 'Parks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]",346,"{'main': {'latitude': 60.155112, 'longitude': 24.944256}}",Fredrik Stjernvallin puisto
"[{'id': 13139, 'name': 'Eastern European Restaurant', 'short_name': 'Eastern European', 'plural_name': 'Eastern European Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13329, 'name': 'Russian Restaurant', 'short_name': 'Russian', 'plural_name': 'Russian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/russian_', 'suffix': '.png'}}]",350,"{'main': {'latitude': 60.158522, 'longitude': 24.948835}, 'roof': {'latitude': 60.158522, 'longitude': 24.948835}}",Ravintola Saslik
"[{'id': 16003, 'name': 'Beach', 'short_name': 'Beach', 'plural_name': 'Beaches', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/beach_', 'suffix': '.png'}}]",355,"{'main': {'latitude': 60.152491, 'longitude': 24.952333}}",Uunisaaren ranta
"[{'id': 16047, 'name': 'Sculpture Garden', 'short_name': 'Sculpture', 'plural_name': 'Sculpture Gardens', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/sculpture_', 'suffix': '.png'}}]",359,"{'main': {'latitude': 60.153817, 'longitude': 24.95591}, 'roof': {'latitude': 60.153817, 'longitude': 24.95591}}",Nordenskjöldin patsas
"[{'id': 13025, 'name': 'Wine Bar', 'short_name': 'Wine Bar', 'plural_name': 'Wine Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",360,"{'main': {'latitude': 60.153817, 'longitude': 24.95591}, 'roof': {'latitude': 60.153817, 'longitude': 24.95591}}",Mattolaituri
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",365,"{'drop_off': {'latitude': 60.15844, 'longitude': 24.952397}, 'main': {'latitude': 60.158543, 'longitude': 24.952533}, 'roof': {'latitude': 60.158543, 'longitude': 24.952533}}",IV-music
"[{'id': 16026, 'name': 'Monument', 'short_name': 'Monument', 'plural_name': 'Monuments', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_monument_', 'suffix': '.png'}}]",374,"{'main': {'latitude': 60.154118, 'longitude': 24.956527}}",Koillisväylä
"[{'id': 16032, 'name': 'Park', 'short_name': 'Park', 'plural_name': 'Parks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]",375,"{'main': {'latitude': 60.158867, 'longitude': 24.949318}}",Neitsytpuisto
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",382,"{'drop_off': {'latitude': 60.156465, 'longitude': 24.943528}, 'main': {'latitude': 60.156575, 'longitude': 24.943755}, 'roof': {'latitude': 60.156575, 'longitude': 24.943755}}",Ripa's
"[{'id': 10024, 'name': 'Movie Theater', 'short_name': 'Movie Theater', 'plural_name': 'Movie Theaters', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_', 'suffix': '.png'}}]",384,"{'main': {'latitude': 60.158816, 'longitude': 24.951862}, 'roof': {'latitude': 60.158816, 'longitude': 24.951862}}",Riihi-Gildat Oy
"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",387,"{'main': {'latitude': 60.157601, 'longitude': 24.955936}, 'roof': {'latitude': 60.157601, 'longitude': 24.955936}}",Kaivohuone
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",387,"{'drop_off': {'latitude': 60.1568, 'longitude': 24.943726}, 'main': {'latitude': 60.15668, 'longitude': 24.943741}, 'roof': {'latitude': 60.15668, 'longitude': 24.943741}}",Interiors Iisa Strand tmi
